,product_name,price,weight,category
0,Crestwood Chicken & Bacon Family Pie 700g,£2.49,700g,frozen
1,Oakhurst Lamb Shanks Mint Gravy Cook From Frozen 860g/2 Pack,£5.99,860g,frozen
2,Just Like Grandma's Golden Yorkshire Puddings 230g/12 Pack,£0.99,230g,frozen
3,Four Seasons Homestyle Chips 1kg,£1.59,1kg,frozen
4,Roosters Chicken Nuggets 450g/30 Pack*,£1.49,450g,frozen
5,Roosters Chicken Quarter Pounders 227g/2 Pack,£1.79,227g,frozen
6,Carlos Garlic Baguettes 338g/2 Pack,£0.85,338g,frozen
7,Four Seasons Crispy Skin On Fries 1kg,£1.89,1kg,frozen
8,Roosters Chicken Dippers In Batter 450g/24* Pack,£1.49,450g,frozen
9,Roosters Gastro Buttermilk Chicken Thigh Burgers 330g,£2.79,330g,frozen
10,Roosters Breaded Chicken Goujons 320g,£1.59,320g,frozen
11,Roosters Southern Fried Chicken Goujons 320g,£1.59,320g,frozen
12,Gianni's Ice Cubes 2kg,£0.99,2kg,frozen
13,Four Seasons Diced White Onions 500g,£0.99,500g,frozen
14,Four Seasons Ready Baked Jacket Potatoes 800g/4 Pack,£2.35,800g,frozen
15,Carlos Ready To Share Garlic & Cheese Pizza Bread 236g,£1.09,236g,frozen
16,Let's Party Pigs In Blankets 240g/12 Pack,£1.99,240g,frozen
17,Specially Selected Scottish Isles Sea Salt & Caramel Ice Cream 500ml,£2.49,500ml,frozen
18,Specially Selected Deliciously Creamy Madagascan Vanilla Ice Cream 500ml,£2.49,500ml,frozen
19,The Fishmonger Ready Cooked Seafood Selection 350g,£3.79,350g,frozen
20,Roosters Gastro Tempura Chicken Strips 600g,£3.59,600g,frozen
21,Dairyfine Titan Ice Cream 4x42g/4x51ml,£1.99,4x42g,frozen
22,The Fishmonger Skinless & Boneless Atlantic Cod Fillets 475g,£3.49,475g,frozen
23,The Fishmonger Skinless & Boneless Wild Caught Atlantic Haddock Fillets 400g,£3.49,400g ,frozen
24,The Fishmonger Boneless Smoked Haddock Fillets 400g,£3.49,400g,frozen
25,Four Seasons Mini Hash Brown Waffles 454g,£1.35,454g,frozen
26,Gianni's Mint Chocolate Ice Creams 4x110ml,£1.49,4x110ml,frozen
27,Gianni's Salted Caramel 4x110ml,£1.49,4x110ml,frozen
28,Gianni's Cookie Dough Ice Cream 472ml,£2.49,472ml,frozen
29,The Fishmonger Skinless & Boneless Fish Pie Mix 400g,£3.79,400g,frozen
30,Roosters Gastro Southern Fried Chicken Chunks 356g,£2.49,356g,frozen
31,Roosters Gastro Battered Chicken Chunks 356g,£2.49,356g,frozen
32,Roosters Gastro Hot & Spicy Chicken Chunks 356g,£2.49,356g,frozen
33,Crestwood Family Steak Pie 700g,£2.49,700g,frozen
34,Crestwood Bacon & Cheese Wraps 2x97g,£1.79,2x97g,frozen
35,Specially Selected Potato Dauphinoise 480g/4 Pack,£2.79,480g,frozen
36,Carlos Takeaway Pepperoni Classic Crust Pizza 511g,£2.29,511g,frozen
37,Carlos Takeaway BBQ Chicken Classic Crust Pizza 538g,£2.29,538g,frozen
38,The Fishmonger Chunky Breaded Cod Fish Fillets 500g/4 Pack,£4.49,500g,frozen
39,The Fishmonger Chunky Battered Cod Fish Fillets 500g/4 Pack,£4.49,500g,frozen
40,Inspired Cuisine Chicken Korma With Pilau Rice 400g,£1.49,400g,frozen
41,Gianni's Real Dairy Honeycomb Ice Cream 1litre,£2.29,1Litre,frozen
42,Crestwood Sausage Rolls 424g/4 Pack,£1.19,424g,frozen
43,Everyday Essentials Chicken Breast Fillets 1kg,£4.25,1kg,frozen
44,Dessert Menu Apple Strudel 600g,£1.55,600g,frozen
45,The Fishmonger Lemon & Herb Tempura Basa Fillets 310g/2 Pack,£3.29,310g,frozen
46,The Fishmonger Salt & Pepper Dusted Basa Fillets 310g/2 Pack,£3.29,310g,frozen
47,The Fishmonger Breaded Wholetail Scampi 250g,£2.69,250g,frozen
48,Gianni's Scottish Dairy Ice Cream Salted Caramel 1l,£2.29,1L,frozen
49,Gianni's Creamy Vanilla Ice Cream 900ml,£1.99,900ml,frozen
50,Oakhurst Cook From Frozen Chicken King Kebab Peri Peri 924g,£5.49,924g,frozen
51,The Fishmonger Buttermilk Fish Fillet Burgers 227g,£2.19,227g,frozen
52,The Fishmonger Southern Fried Fish Fillet Burgers 227g,£2.19,227g,frozen
53,Inspired Cuisine Fisherman's Pie 340g,£1.15,340g,frozen
54,Carlos Stonebaked Flatbread Chicken & Mango Pizza 390g,£1.99,390g,frozen
55,Carlos Stonebaked Flatbread Calabrese Salami Pizza 360g,£1.99,360g,frozen
56,Specially Selected Chip Shop Style Extra Large Battered Cod Fillets 460g/2 Pack,£4.49,460g,frozen
57,Carlos Garlic Bread Slices 260g/10 Pack,£1.19,260g,frozen
58,Slimwell Chicken Tikka Masala 500g,£2.69,500g,frozen
59,Gianni's Soft Scoop Cornish Clotted Cream Ice Cream 2l,£3.29,2L,frozen
60,Oakhurst Cook From Frozen Thick Pork Sausages 800g/16 Pack,£2.29,800g,frozen
61,Oakhurst Cook From Frozen Irish Recipe Pork Sausages Carefully Seasoned 800g/16 Pack,£2.29,800g,frozen
62,Plant Menu No Pork Sausage Rolls 400g/4 Pack,£1.19,400g,frozen
63,Oakhurst Breakfast Pork Patties 342g/6 Pack,£1.99,342g,frozen
64,"Crestwood Spinach, Leek & Cheddar Lattices 2x150g",£1.79,2x150g,frozen
65,Roosters Cheese & Ham Chicken Kievs In Breadcrumbs 500g/4 Pack,£2.75,500g,frozen
66,Roosters Garlic & Herb Chicken Kievs In Breadcrumbs 500g/4 Pack,£2.75,500g,frozen
67,Roosters Southern Fried Poppin' Chicken 210g,£1.09,210g,frozen
68,Gianni's Whirlz Mini Lollies 8x40g,£1.99,8x40g,frozen
69,The Fishmonger Breaded Omega 3 Fish Fingers 450g/15 Pack,£1.69,450g,frozen
70,Oakhurst Cook From Frozen Beef Burgers 342g/6 Pack,£1.99,342g,frozen
71,Oakhurst Cooked Diced Chicken 340g,£2.15,340g,frozen
72,The Fishmonger Breaded Cod Fish Fingers 300g/10 Pack,£1.65,300g,frozen
73,Carlos Thin & Crispy Pepperoni Pizza 314g,£0.97,314g,frozen
74,Everyday Essentials Cheese & Tomato Pizza 314g,£0.97,314g,frozen
75,The Fishmonger Tempura Battered Fish Fillet Burgers 227g,£2.19,227g,frozen
76,Roosters Gastro Sticky Teriyaki Chicken Thigh Bites 300g,£2.19,300g,frozen
77,Roosters Gastro Sticky BBQ Chicken Thigh Bites 300g,£2.19,300g,frozen
78,Gianni's Cookie Dough Ice Cream 500ml,£2.19,500ml,frozen
79,Gianni's Chocolate Brownie Ice Cream 500ml,£2.19,500ml,frozen
80,Gianni's Cheeky Monkey Ice Cream 500ml,£2.19,500ml,frozen
81,Crestwood Red Onion & Goats Cheese Lattices 2x150g,£1.79,2x150g,frozen
82,Plant Menu Vegetable Fingers 453g/16 Pack,£1.69,453g,frozen
83,Veggie Menu Cheese & Spring Onion Crispbakes 454g/4 Pack,£1.79,454g,frozen
84,The Fishmonger Breaded Cod Fillets 500g/4 Pack,£3.39,500g,frozen
85,The Fishmonger Battered Cod Fillets 500g/4 Pack,£3.39,500g,frozen
86,Mr Brain's 6 Pork Faggots 656g,£1.19,656g,frozen
87,Specially Selected Chip Shop Style Extra Large Beer Battered Haddock Fillets 460g/2 Pack,£4.49,460g,frozen
88,The Fishmonger Atlantic Large Prawns 275g,£2.79,275g,frozen
89,Roosters Gastro Breaded Chicken Strips 600g,£3.59,600g,frozen
90,Roosters Gastro Flamin Hot Chicken Strips 600g,£3.59,600g,frozen
91,Roosters Gastro Southern Fried Chicken Strips 600g,£3.59,600g,frozen
92,Four Seasons Triple Cooked Beef Dripping Chips 750g,£2.39,750g,frozen
93,Gianni's Toffee & Vanilla Ice Cream Cones 4x110ml,£1.25,4x110ml,frozen
94,Gianni's Mint & Chocolate Ice Cream Cones 4x110ml,£1.25,4x110ml,frozen
95,Gianni's Cookies & Cream Ice Cream Sandwich 6x55ml,£2.49,6x55ml,frozen
96,Gianni's Chocolate Chip Cookie Ice Cream Sandwiches 4x95ml,£2.49,4x95ml,frozen
97,Strachan's Ice Cubes 2kg,£0.99,2kg,frozen
98,Strachan's Scottish Dairy Ice Cream 2l,£3.49,2L,frozen
99,Strachan's Scottish Dairy Raspberry Ripple Ice Cream 1l,£2.29,1L,frozen
100,Strachan's Scottish Dairy Mint Choc Chip Ice Cream 1l,£2.29,1L,frozen
101,Strachan's Scottish Dairy Scottish Tablet Ice Cream 1l,£2.29,1L,frozen
102,Let's Party Tempura King Prawns 156g/12 Pack,£1.99,156g,frozen
103,Specially Selected Beef Dripping Large Yorkshire Puddings 6 Pack,£1.99,6 Pack,frozen
104,Specially Selected Chunky Oven Chips 1.5kg,£2.99,1.5kg,frozen
105,Frasers Macaroni Cheese 325g,£1.09,325g,frozen
106,"Frasers Haggis, Neeps & Tatties 325g",£1.09,325g,frozen
107,Frasers Stovies 325g,£1.09,325g,frozen
108,Carlos Deep Pan Meat Feast Pizza 379g,£1.39,379g,frozen
109,Gianni's Mini Chocsticks 8x50ml,£2.09,8x50ml,frozen
110,Oakhurst Cooked Sliced Chicken 340g,£2.15,340g,frozen
111,Gianni's Traditional Real Dairy Ice Cream 1l,£2.29,1L,frozen
112,Crestwood Steak Bakes 140g/2 Pack,£1.19,140g,frozen
113,Crestwood Chicken Bakes 153g/2 Pack,£1.19,153g,frozen
114,Four Seasons Cauliflower Cheese 750g,£2.25,750g,frozen
115,Four Seasons Breaded Onion Rings 750g,£1.99,750g,frozen
116,Four Seasons Battered Onion Rings 750g,£1.99,750g,frozen
117,Specially Selected Cheese & Onion Quarter Pounders 454g/4 Pack,£3.19,454g,frozen
118,Specially Selected Aberdeen Angus Quarter Pounders 454g/4 Pack,£3.19,454g,frozen
119,Crestwood Steak & Gravy Pies 4x150g,£2.25,4x150g,frozen
120,Crestwood Chicken & Vegetable Pies 4x150g,£2.25,4x150g,frozen
121,Specially Selected British Grown British Petits Pois 700g,£0.99,700g,frozen
122,Plant Menu No Chicken Pies 2x200g,£1.59,2x200g,frozen
123,Plant Menu No Beef Pies 2x200g,£1.59,2x200g,frozen
124,Plant Menu No Chicken Breasts 175g/2 Pack,£1.49,175g,frozen
125,Specially Selected Indian Inspired Potato Rosti Baskets 300g/2 Pack,£2.99,300g,frozen
126,Specially Selected Chinese Inspired Potato Rosti Baskets 300g/2 Pack,£2.99,300g,frozen
127,Specially Selected Mediterranean Inspired Potato Rosti Baskets 300g/2 Pack,£2.99,300g,frozen
128,Plant Menu K-dogs 180g/2 Pack,£1.99,180g,frozen
129,Plant Menu Corn Dogs 180g/2 Pack,£1.99,180g,frozen
130,Veggie Menu Mozzarella Burgers 227g/2 Pack,£1.75,227g,frozen
131,Veggie Menu Pesto & Cheddar Sausages 270g/6 Pack,£1.75,270g,frozen
132,Specially Selected Chip Shop Style Extra Large Sourdough Breaded Cod Fillets 460g/2 Pack,£4.49,460g,frozen
133,Veggie Menu Pesto & Mozzarella Bakes 220g/2 Pack,£1.79,220g,frozen
134,Veggie Menu Spicy Butternut Squash & Chipotle Feta Bakes 220g/2 Pack,£1.79,220g,frozen
135,Oakhurst Beef Quarter Pounders 454g,£2.99,454g,frozen
136,Roosters Battered Chicken Balls In A Light & Crispy Batter 380g,£2.99,380g,frozen
137,Roosters Curried Chicken Balls In Tempura Batter 380g,£2.99,380g,frozen
138,Veggie Menu BBQ Sweet Potato Burgers 227g/2 Pack,£1.75,227g,frozen
139,Inspired Cuisine Creamy Chicken Fajita Pasta 400g,£1.99,400g,frozen
140,Four Seasons French Fries Golden & Crispy 1kg,£1.35,1kg,frozen
141,Veggie Menu Cauliflower Cheese Grills 397g/4 Pack,£1.79,397g,frozen
142,Oakhurst Chicken Nuggets With Sweet Chilli & BBQ Dips 300g,£1.89,300g,frozen
143,Crestwood Steak & Ale Pies 2x200g,£2.49,2x200g,frozen
144,"Crestwood Chicken, Bacon & Leek Pies 2x200g",£2.49,2x200g,frozen
145,Specially Selected Chicken & Pesto Stonebaked Pizza 420g,£2.49,420g,frozen
146,Roosters Shredded Chicken Tikka Strips 380g,£2.99,380g,frozen
147,Roosters Salt & Chilli Shredded Chicken Strips 380g,£2.99,380g,frozen
148,The Fishmonger Panko Crumb Calamari 250g,£1.99,250g,frozen
149,The Fishmonger Battered Calamari 250g,£1.99,250g,frozen
150,The Fishmonger Soy & Chilli Calamari 225g,£1.99,225g,frozen
151,Roosters Chicken Goujons In A Tempura Batter 320g,£1.59,320g,frozen
152,"Ready, Set...Cook! Beef Burrito Rice Mix 700g",£2.49,700g,frozen
153,"Ready, Set...Cook! Oriental Noodle Meal 700g",£2.49,700g,frozen
154,Carlos Takeaway Chilli Dog Pizza 543g,£2.99,543g,frozen
155,Crestwood Festive Bakes 2x154g,£1.39,2x154g,frozen
156,Specially Selected Pistachio Ice Cream 480ml/310g,£2.49,480ml,frozen
157,Crestwood Cheese & Asparagus Parcels 2x200g,£1.99,2x200g,frozen
158,Specially Selected The Ultimate No Beef Flank Steak 200g/2 Pack,£6.99,200g,frozen
159,Dairyfine Milk Chocolate Caramel Ice Cream Cones 5x69g/5x110ml,£0.99,5x69g,frozen
160,Crestwood Mac & Cheese And Pulled Pork Parcels 2x180g,£1.99,2x180g,frozen
161,"Crestwood Cheese, Bacon & Hash Brown Parcels 2x180g",£1.99,2x180g,frozen
162,Dessert Menu Mixed Berry Crumble Tart 520g,£1.99,520g,frozen
163,Specially Selected Chocolate & Hazelnut Filled Croissants 280g/4 Pack,£2.15,280g,frozen
164,Specially Selected Almond Filled Croissants 280g/4 Pack,£2.15,280g,frozen
165,Roosters Katsu Shredded Chicken Strips 380g,£2.99,380g,frozen
166,Dessert Menu Apple Tart 450g,£1.99,450g,frozen
167,Dessert Menu Cherry Bakewell Tart 471g,£1.99,471g,frozen
168,Specially Selected Pulled No Pork 200g,£3.29,200g,frozen
169,Specially Selected Pulled No Beef 200g,£3.29,200g,frozen
170,Specially Selected No Lamb Kofta Mix 250g,£3.29,250g,frozen
171,Crestwood Festive Pies 2x200g,£2.49,2x200g,frozen
172,Specially Selected Cheese & Spinach Salmon Wellington 700g,£4.69,700g,frozen
173,"The Fishmonger King Prawns With Tomato, Oregano & Feta 138g",£1.99,138g,frozen
174,Crestwood Brie & Cranberry Wraps 2x103g,£1.79,2x103g,frozen
175,Four Seasons Homestyle Straight Cut Chips 1kg,£1.59,1kg,frozen
176,Gianni's Strawberry Ice Cream 1l,£2.49,1L,frozen
177,Let's Party Salt & Pepper Breaded Prawns 132g/12 Pack*,£1.79,132g,frozen
178,Carlos Meat Feast Pizza 390g,£2.49,390g,frozen
