product_name,price,weight,category
Ocado Frozen Chopped Garlic,£2.35,,frozen-303714
M&S Italian Passata with Soffritto,£2.80,,frozen-303714
Picard Organic Green Beans,£3.60,,frozen-303714
M&S 6 Coconut Mochi Bites,£4.75,240g,frozen-303714
M&S 6 Mochi Mango Bites,£4.75,240g,frozen-303714
M&S Chargrilled Mediterranean Vegetables Frozen,£2.90,500g,frozen-303714
M&S Breaded Wholetail Scampi Frozen,£7.25,300g,frozen-303714
M&S Alphonso Mango Sorbet,£3,500ml,frozen-303714
M&S 8 Ready to Bake Croissants Frozen,£4.75,440g,frozen-303714
M&S 12 Vegetable Spring Rolls Frozen,£5,300g,frozen-303714
Cook With M&S Soffritto Base Frozen,£2,500g,frozen-303714
M&S British Petits Pois Frozen,£1.70,750g,frozen-303714
M&S Summer Fruit Selection Frozen,£5.25,500g,frozen-303714
M&S 6 All Butter Triple Belgian Chocolate Cookies Frozen,£4.50,300g,frozen-303714
M&S Garlic & Herb Butter Frozen,£3.60,200g,frozen-303714
M&S British Baby Broad Beans Frozen,£1.35,500g,frozen-303714
M&S 12 Mini Chicken Kyivs Frozen,£5,360g,frozen-303714
M&S Sweet Potato Fries Frozen,£3.50,500g,frozen-303714
M&S Collection West Country Madagascan Vanilla Ice Cream,£4.25,500ml,frozen-303714
M&S Honduran Raw King Prawns Extra Large Frozen,£5,200g,frozen-303714
M&S Tempura Vegetables,£5,230g,frozen-303714
M&S Mini Cookie Dough Ice Cream Bites,£4.75,204g,frozen-303714
M&S Beer Battered Cod Bites Frozen,£5,380g,frozen-303714
M&S Stonebaked Woodfired Salami Napoli Pizza Frozen,£4.50,370g,frozen-303714
M&S Seasoned Potato Wedges Frozen,£2.70,1kg,frozen-303714
M&S Ready to Bake Bramley Apple Pie Frozen,£4.50,755g,frozen-303714
M&S Trifle Caked Alaska Ice Cream,£4,500ml,frozen-303714
M&S Sticky Toffee Pudding,£5.50,400g,frozen-303714
M&S Nut Your Average Ice Cream,£4,500ml,frozen-303714
M&S Top of the Chocs Ice Cream,£4,500ml,frozen-303714
M&S Collection Salted Caramel Luxury Ice Cream,£3.50,4 x 100ml,frozen-303714
N/A,£1.15,500g,frozen-303714
M&S Parmentier Potatoes Frozen,£2.60,500g,frozen-303714
M&S Summer Fruit Selection Frozen,£5.25,500g,frozen-303714
M&S British Beef Oxtail Frozen,£12.50,Typically: 825g,frozen-303714
M&S Our Best Ever 12 Pigs in Blankets Frozen,£5.50,300g,frozen-303714
M&S Summer Fruit Selection Frozen,£3.40,330g,frozen-303714
Cook With M&S Chopped Onions Frozen,£1.50,500g,frozen-303714
Cook With M&S Soffritto Base Frozen,£2,500g,frozen-303714
M&S French Fries Frozen,£1.95,1kg,frozen-303714
M&S Ice Cubes,£1.70,2kg,frozen-303714
M&S French Fries Frozen,£2.90,1.5kg,frozen-303714
M&S Organic Whole Leaf Spinach Frozen,£2.25,500g,frozen-303714
M&S Gastropub Triple Cooked Chips Frozen,£2.90,600g,frozen-303714
M&S Organic Garden Peas Frozen,£2.25,500g,frozen-303714
M&S British Crinkle Cut Chips Frozen,£2.10,1kg,frozen-303714
M&S British Garden Peas Frozen,£1.95,1.25kg,frozen-303714
M&S Chunky Chips Frozen,£2.90,1kg,frozen-303714
M&S British Green Beans Frozen,£1.65,750g,frozen-303714
M&S British Garden Peas Frozen,£1.45,750g,frozen-303714
M&S Organic Sweetcorn Frozen,£2.25,500g,frozen-303714
M&S Organic Petits Pois Frozen,£2.50,500g,frozen-303714
M&S Beer Battered Onion Rings Frozen,£2.80,350g,frozen-303714
M&S Chargrilled Mediterranean Vegetables Frozen,£2.90,500g,frozen-303714
M&S Breaded Chicken Nuggets Frozen,£4.75,600g,frozen-303714
M&S 10 Fish Fingers Frozen,£2.30,300g,frozen-303714
M&S British Petits Pois Frozen,£2.15,1.25kg,frozen-303714
M&S Sweet Potato Fries Frozen,£3.50,500g,frozen-303714
M&S 12 Mini Chicken Kyivs Frozen,£5,360g,frozen-303714
M&S 8 Ready to Bake Pain Au Chocolat Frozen,£4.75,480g,frozen-303714
M&S 8 Ready to Bake Croissants Frozen,£4.75,440g,frozen-303714
M&S Bubble & Squeak Cakes Frozen,£3,500g,frozen-303714
M&S Curly Fries Frozen,£2.40,700g,frozen-303714
M&S British Baby Broad Beans Frozen,£1.35,500g,frozen-303714
M&S British Petits Pois Frozen,£1.70,750g,frozen-303714
M&S Honduran Raw King Prawns Extra Large Frozen,£5,200g,frozen-303714
M&S Wild Icelandic Cod Fillets Frozen,£6.25,380g,frozen-303714
M&S Straight Cut Chips Frozen,£2.50,1.5kg,frozen-303714
M&S Giant Yorkshire Pudding Frozen,£1.60,125g,frozen-303714
M&S Broccoli Florets Frozen,£2,1kg,frozen-303714
M&S Cauliflower Florets Frozen,£1.80,1kg,frozen-303714
M&S Sweetcorn Frozen,£1.80,1kg,frozen-303714
M&S Maris Piper Roast Potatoes Frozen,£3,800g,frozen-303714
M&S Homestyle Chips Frozen,£2.80,1kg,frozen-303714
M&S 6 Breaded Jumbo Cod Fish Fingers Frozen,£4.75,440g,frozen-303714
M&S Chantenay Carrots Frozen,£1.30,500g,frozen-303714
Cook With M&S Mushroom Medley Frozen,£2.60,300g,frozen-303714
M&S 10 Tempura Tiger Prawns Frozen,£5,180g,frozen-303714
M&S Cooked Greenland Prawns Frozen,£6,280g,frozen-303714
M&S 9 Chunky Cod Fish Fingers Frozen,£4.25,360g,frozen-303714
